# requirement_id | source_section | authority | owner | summary | implementation_paths (;) | test_paths (;) | experiment_ids (;) | config_keys (;) | external_dependency | status_override
# authority: FROZEN_CONTRACT | INTERFACE_FROZEN | EXPERIMENTAL_CANDIDATE | OPEN_BLOCKED
# status_override (optional): INTEGRATED | EVALUATED | VALIDATED | BLOCKED_EXTERNAL | BLOCKED_OPEN_DECISION  (otherwise derived from paths/tests)
REQ-REPO-001 | prompt s3; ch34 | FROZEN_CONTRACT | software | New standalone repository with own git history, lock, CI, README, migrations, docs | pyproject.toml;uv.lock;.github/workflows/ci.yml;README.md | tests/contract/test_ss09_ci_hygiene.py | | | |
REQ-REPO-002 | prompt s4-s6,s128 | FROZEN_CONTRACT | software | Zero dependency on the legacy repository; operation proven with it absent | tests/leakage/test_static_boundaries.py;scripts/legacy_independence_check.py | tests/leakage/test_static_boundaries.py | | | |
REQ-REPO-003 | prompt s4,s5,s117 | FROZEN_CONTRACT | software | Read-only legacy audit and salvage ledger | docs/migration/DIGITAL_TWIN_LEGACY_AUDIT.md;artifacts/migration/digital-twin-salvage-ledger.json;docs/migration/DIGITAL_TWIN_SALVAGE_REPORT.md | tests/contract/test_legacy_salvage_ledger.py | | | |
REQ-SPEC-001 | prompt s7; ch29-30 | FROZEN_CONTRACT | software | Requirements ledger and implementation map | docs/specification/CONRAD_V2_REQUIREMENTS_LEDGER.md;artifacts/spec/requirements-ledger.json;docs/IMPLEMENTATION_MAP.md | tests/contract/test_requirements_ledger.py | | | |
REQ-SPEC-002 | prompt s8; ch30 | FROZEN_CONTRACT | software | Implementation metadata on every substantial package | conrad/core/__init__.py;conrad/decision/__init__.py;conrad/active/__init__.py;conrad/communication/__init__.py | tests/contract/test_package_metadata.py | | | |
REQ-ARCH-001 | ch1; ch2; INV-ARCH-01 | FROZEN_CONTRACT | software | Twins = truth, Model2 = belief, Model1 = decision; no truth in deployment-equivalent inference | conrad/schemas/truth.py;conrad/twins/base.py;conrad/domains/base.py | tests/leakage/test_static_boundaries.py;tests/leakage/test_dynamic_leakage.py | | | |
REQ-ARCH-002 | INV-ARCH-04; prompt s118,s122 | FROZEN_CONTRACT | software | Twin1 scrapped; no obsolete architecture identifiers; no extra subsystem | tests/leakage/test_static_boundaries.py | tests/leakage/test_static_boundaries.py | | | |
REQ-ARCH-003 | INV-ARCH-07; ch28 | FROZEN_CONTRACT | software | Simulator hidden entity ID never an inference feature or belief ID | conrad/schemas/observation.py;conrad/schemas/belief.py | tests/leakage/test_dynamic_leakage.py | | | |
REQ-SCHEMA-001a | ch2; ch25 Phase 0 | INTERFACE_FROZEN | software | Scenario and WorldEntity versioned schemas with shared-scenario consistency | conrad/schemas/world.py | tests/contract/test_p0_contracts.py | | | | 
REQ-SCHEMA-001b | ch2; ch25 Phase 0 | INTERFACE_FROZEN | software | TruthState separated from the public schema surface | conrad/schemas/truth.py | tests/contract/test_p0_contracts.py;tests/leakage/test_static_boundaries.py | | | | 
REQ-SCHEMA-001c | ch2; ch25 Phase 0 | INTERFACE_FROZEN | software | Observation and Evidence schemas (evidence is not belief) | conrad/schemas/observation.py | tests/contract/test_p0_contracts.py | | | | 
REQ-SCHEMA-001d | ch2; ch25 Phase 0 | INTERFACE_FROZEN | software | BeliefCell, BeliefMessage, BeliefQuery, BeliefRevision schemas | conrad/schemas/belief.py | tests/contract/test_p0_contracts.py;tests/contract/test_cc_persistence.py | | | | 
REQ-SCHEMA-001e | ch2; ch25 Phase 0 | INTERFACE_FROZEN | software | MissionState and ResourceState schemas | conrad/schemas/decision.py | tests/unit/decision | | | | 
REQ-SCHEMA-001f | ch2; ch25 Phase 0 | INTERFACE_FROZEN | software | SystemHealth, RobotState, RobotConfig, RobotCapabilities schemas | conrad/schemas/robot.py | tests/contract/test_p0_contracts.py;tests/contract/test_command_gateway.py | | | | 
REQ-SCHEMA-001g | ch2; ch25 Phase 0 | INTERFACE_FROZEN | software | CommunicationState and LinkState schemas | conrad/schemas/comms.py | tests/unit/communication | | | | 
